order,crop,country,community,indicator,bin,value
297,ABE,Zimbabwe,Zaka,Water,2022/23,4.5
298,ABE,Zimbabwe,Ruware,Water,Baseline,4.0
299,ABE,Zimbabwe,Ruware,Water,2015/16,4.0
300,ABE,Zimbabwe,Ruware,Water,2016/17,4.0
301,ABE,Zimbabwe,Ruware,Water,2017/18,4.5
302,ABE,Zimbabwe,Ruware,Water,2018/19,4.5
303,ABE,Zimbabwe,Ruware,Water,2019/20,4.5
304,ABE,Zimbabwe,Ruware,Water,2020/21,4.5
305,ABE,Zimbabwe,Ruware,Water,2021/22,4.5
306,ABE,Zimbabwe,Ruware,Water,2022/23,4.5
307,ABE,Zimbabwe,Gokwe,Water,Baseline,0.0
308,ABE,Zimbabwe,Gokwe,Water,2015/16,0.0
309,ABE,Zimbabwe,Gokwe,Water,2016/17,7.0
310,ABE,Zimbabwe,Gokwe,Water,2017/18,0.0
311,ABE,Zimbabwe,Gokwe,Water,2018/19,7.0
312,ABE,Zimbabwe,Gokwe,Water,2019/20,5.0
313,ABE,Zimbabwe,Gokwe,Water,2020/21,5.5
314,ABE,Zimbabwe,Gokwe,Water,2021/22,0.0
315,ABE,Zimbabwe,Gokwe,Water,2022/23,0.0
